"id","language","title","description","path_id","search_vector"
103,"en","Nine time management tips","A view on time management from a doctor and YouTuber that discusses a variety of principles, tools, and tactics.",108,"'discuss':16B 'doctor':12B 'manag':3A,9B 'nine':1A 'principl':20B 'tactic':23B 'time':2A,8B 'tip':4A 'tool':21B 'varieti':18B 'view':6B 'youtub':14B"
329,"en","Ask a question with âWrite on Timeâ","Looking for some extra help with your writing? Ask a question using âWrite on Timeâ and get a thoughtful response within 30 minutes.",353,"'30':29B 'ask':1A,16B 'extra':11B 'get':24B 'help':12B 'look':8B 'minut':30B 'question':3A,18B 'respons':27B 'thought':26B 'time':7A,22B 'use':19B 'within':28B 'write':5A,15B,20B"
106,"en","Time management advice no one tells you","This video gives you insight into a student's personal time management techniques that will help you feel more in control of your time.",111,"'advic':3A 'control':27B 'feel':24B 'give':9B 'help':22B 'insight':11B 'manag':2A,18B 'one':5A 'person':16B 'student':14B 'techniqu':19B 'tell':6A 'time':1A,17B,30B 'video':8B"
99,"en","How to multiply your time","Watch this TedTalk with Rory Vaden to learn how to multiply your time and make the most of the hours in your day.",104,"'day':28B 'hour':25B 'learn':13B 'make':20B 'multipli':3A,16B 'rori':10B 'tedtalk':8B 'time':5A,18B 'vaden':11B 'watch':6B"
238,"en","How to use resistance bands","This video gives tips for beginners on using resistance bands.",243,"'band':5A,15B 'beginn':11B 'give':8B 'resist':4A,14B 'tip':9B 'use':3A,13B 'video':7B"
714,"en","test ","test",904,"'test':1A,2B"
18,"en","COVID testing in Halifax - I do not have symptoms","If you don't have symptoms of COVID 19 but would like to be tested, please follow the link in step 1. Anyone seeking a test can get one, especially those who have a lot of close social interaction through gatherings or many social contacts. If you do not fall into this category but would like to learn more about other COVID-19 testing options, you can learn more at the link below: 

http://www.nshealth.ca/coronavirustesting",15,"'-19':72B '/coronavirustesting':85B '1':31B '19':18B 'anyon':32B 'categori':62B 'close':46B 'contact':54B 'covid':1A,17B,71B 'especi':39B 'fall':59B 'follow':26B 'gather':50B 'get':37B 'halifax':4A 'interact':48B 'learn':67B,77B 'like':21B,65B 'link':28B,81B 'lot':44B 'mani':52B 'one':38B 'option':74B 'pleas':25B 'seek':33B 'social':47B,53B 'step':30B 'symptom':9A,15B 'test':2A,24B,35B,73B 'would':20B,64B 'www.nshealth.ca':84B 'www.nshealth.ca/coronavirustesting':83B"
82,"en","Six tips to improve your social skills","Having a great networkâthe set of relationships you build over time, both personally and professionallyâis important to your success in so many ways. In this plan, read and implement six simple tips from May Busch to improve your social skills and build lasting connections.

Link to full article: https://maybusch.com/6-tips-improve-your-social-skills/",87,"'/6-tips-improve-your-social-skills/':60B 'articl':57B 'build':17B,51B 'busch':44B 'connect':53B 'full':56B 'great':10B 'implement':38B 'import':25B 'improv':4A,46B 'last':52B 'link':54B 'mani':31B 'may':43B 'maybusch.com':59B 'maybusch.com/6-tips-improve-your-social-skills/':58B 'network':11B 'person':21B 'plan':35B 'profession':23B 'read':36B 'relationship':15B 'set':13B 'simpl':40B 'six':1A,39B 'skill':7A,49B 'social':6A,48B 'success':28B 'time':19B 'tip':2A,41B 'way':32B"
86,"en","Make friends in the mad rush","Every fall, when hundreds of freshmen first arrive to campus, there's a mad rush to make friends. It can be overwhelming to build relationships with so many new people, but this plan will show you a few helpful tips for establishing good friendships.",91,"'arriv':14B 'build':30B 'campus':16B 'establish':48B 'everi':7B 'fall':8B 'first':13B 'freshmen':12B 'friend':2A,24B 'friendship':50B 'good':49B 'help':45B 'hundr':10B 'mad':5A,20B 'make':1A,23B 'mani':34B 'new':35B 'overwhelm':28B 'peopl':36B 'plan':39B 'relationship':31B 'rush':6A,21B 'show':41B 'tip':46B"
412,"en","Five pieces of financial advice for new graduates","Recently graduated or graduating soon? This plan adapts five pieces of advice for new college grads from Zina Kumok at the MintLife Blog. Check out the full article here: https://mint.intuit.com/blog/planning/5-pieces-of-financial-advice-for-new-graduates/",449,"'/blog/planning/5-pieces-of-financial-advice-for-new-graduates/':40B 'adapt':16B 'advic':5A,20B 'articl':36B 'blog':31B 'check':32B 'colleg':23B 'financi':4A 'five':1A,17B 'full':35B 'grad':24B 'graduat':8A,10B,12B 'kumok':27B 'mint.intuit.com':39B 'mint.intuit.com/blog/planning/5-pieces-of-financial-advice-for-new-graduates/':38B 'mintlif':30B 'new':7A,22B 'piec':2A,18B 'plan':15B 'recent':9B 'soon':13B 'zina':26B"
89,"en","$40 per week grocery budget","This path comes from an article on Medium written by Clifton Long, Jr. It details his strategy for saving money on grocery store trips and can help you plan out your food buying experience more efficiently.",94,"'40':1A 'articl':11B 'budget':5A 'buy':38B 'clifton':16B 'come':8B 'detail':20B 'effici':41B 'experi':39B 'food':37B 'groceri':4A,27B 'help':32B 'jr':18B 'long':17B 'medium':13B 'money':25B 'path':7B 'per':2A 'plan':34B 'save':24B 'store':28B 'strategi':22B 'trip':29B 'week':3A 'written':14B"
554,"en","How to find an occupational therapist","Here are some tips for accessing occupational therapy services near you.",598,"'access':12B 'find':3A 'near':16B 'occup':5A,13B 'servic':15B 'therapi':14B 'therapist':6A 'tip':10B"
148,"en","How to cut back on energy drinks","I have set a goal for myself to reduce my intake of energy drinks. I am an avid drinker of all different sorts of energy drinks from Monsters to Yerba Mate and even the new Reign brand. They taste delicious, and I enjoy their effects. However, I realize my current amount of consumption is excessive and unhealthy, so while not trying to stop altogether, I would like to cut back.",153,"'altogeth':71B 'amount':58B 'avid':25B 'back':4A,77B 'brand':44B 'consumpt':60B 'current':57B 'cut':3A,76B 'delici':47B 'differ':29B 'drink':7A,21B,33B 'drinker':26B 'effect':52B 'energi':6A,20B,32B 'enjoy':50B 'even':40B 'excess':62B 'goal':12B 'howev':53B 'intak':18B 'like':74B 'mate':38B 'monster':35B 'new':42B 'realiz':55B 'reduc':16B 'reign':43B 'set':10B 'sort':30B 'stop':70B 'tast':46B 'tri':68B 'unhealthi':64B 'would':73B 'yerba':37B"
451,"en","How to secure the bag this year","Regardless of when you start this plan, setting goals and resolutions can help keep you on track with your finances. Check out these tips from Marsha Barnes at the MintLife Blog.

Adapted from the full article here: https://mint.intuit.com/blog/goals/how-to-secure-the-bag-in-2022/",490,"'/blog/goals/how-to-secure-the-bag-in-2022/':47B 'adapt':39B 'articl':43B 'bag':5A 'barn':34B 'blog':38B 'check':28B 'financ':27B 'full':42B 'goal':16B 'help':20B 'keep':21B 'marsha':33B 'mint.intuit.com':46B 'mint.intuit.com/blog/goals/how-to-secure-the-bag-in-2022/':45B 'mintlif':37B 'plan':14B 'regardless':8B 'resolut':18B 'secur':3A 'set':15B 'start':12B 'tip':31B 'track':24B 'year':7A"
105,"en","How I stopped procrastinating in college","This video provides advice to help college students reduce procrastination and maximize productivity.",110,"'advic':10B 'colleg':6A,13B 'help':12B 'maxim':18B 'procrastin':4A,16B 'product':19B 'provid':9B 'reduc':15B 'stop':3A 'student':14B 'video':8B"
350,"en","Accessing the bookstore","Do you need to buy a textbook for your course? Visit the SMU bookstore either online or in-person to easily access the resources you need to do well in your courses.",374,"'access':1A,26B 'bookstor':3A,17B 'buy':8B 'cours':13B,36B 'easili':25B 'either':18B 'in-person':21B 'need':6B,30B 'onlin':19B 'person':23B 'resourc':28B 'smu':16B 'textbook':10B 'visit':14B 'well':33B"
461,"en","Budgeting basics","This video from Two Cents provides a succinct overview of how budgets work. If you're new to the concept of budgeting, start here to get oriented.",501,"'basic':2A 'budget':1A,14B,24B 'cent':7B 'concept':22B 'get':28B 'new':19B 'orient':29B 'overview':11B 'provid':8B 're':18B 'start':25B 'succinct':10B 'two':6B 'video':4B 'work':15B"
715,"en","ghj","ghjk",905,"'ghj':1A 'ghjk':2B"
730,"en","Plan c","Plan C",920,"'c':2A,4B 'plan':1A,3B"
763,"en","haisg","jshsi",958,"'haisg':1A 'jshsi':2B"
778,"en","new plan","new plan",980,"'new':1A,3B 'plan':2A,4B"
793,"en","plan by new user","this is description",997,"'descript':7B 'new':3A 'plan':1A 'user':4A"
804,"en","Test Skip 2","Test Skip 2 Description",1019,"'2':3A,6B 'descript':7B 'skip':2A,5B 'test':1A,4B"
19,"en","COVID Testing in Halifax - I have symptoms","Nova Scotia offers online screening to determine if you or your friends & family need to get tested. You can use this service for one person at a time. If more than 1 person in your family needs a test for COVID-19, complete a separate assessment for each person. Based on your answers to COVID-19 screening questions, you may need to enter some personal information. Nova Scotia Health or IWK will use this information to schedule a COVID-19 test.

Symptoms include:
Severe difficulty breathing (e.g., struggling for each breath, speaking in single words)
Severe chest pain
Having a very hard time waking up
Feeling confused
Lost consciousness",16,"'-19':49B,63B,87B '1':39B 'answer':60B 'assess':53B 'base':57B 'breath':93B,98B 'chest':104B 'complet':50B 'confus':114B 'conscious':116B 'covid':1A,48B,62B,86B 'determin':14B 'difficulti':92B 'e.g':94B 'enter':70B 'famili':20B,43B 'feel':113B 'friend':19B 'get':23B 'halifax':4A 'hard':109B 'health':76B 'includ':90B 'inform':73B,82B 'iwk':78B 'lost':115B 'may':67B 'need':21B,44B,68B 'nova':8B,74B 'offer':10B 'one':31B 'onlin':11B 'pain':105B 'person':32B,40B,56B,72B 'question':65B 'schedul':84B 'scotia':9B,75B 'screen':12B,64B 'separ':52B 'servic':29B 'sever':91B,103B 'singl':101B 'speak':99B 'struggl':95B 'symptom':7A,89B 'test':2A,24B,46B,88B 'time':35B,110B 'use':27B,80B 'wake':111B 'word':102B"
293,"en","How to make your LinkedIn profile stand out","LinkedIn is the hottest place for job-search. Recruiters and hiring managers come to you instead of vice versa. Here are some valuable tips for improving and making your profile standout!",313,"'come':21B 'hire':19B 'hottest':11B 'improv':34B 'instead':24B 'job':15B 'job-search':14B 'linkedin':5A,8B 'make':3A,36B 'manag':20B 'place':12B 'profil':6A,38B 'recruit':17B 'search':16B 'stand':7A 'standout':39B 'tip':32B 'valuabl':31B 'versa':27B 'vice':26B"
21,"en","Halifax COVID testing and information","Need to get tested, feeling symptoms or just want some information? This path contains links to the Nova Scotia Health Authority site, where you can find out how and where to get tested, what to do if you have been exposed, and learn about the province's current guidelines.",18,"'author':26B 'contain':19B 'covid':2A 'current':53B 'expos':46B 'feel':10B 'find':31B 'get':8B,37B 'guidelin':54B 'halifax':1A 'health':25B 'inform':5A,16B 'learn':48B 'link':20B 'need':6B 'nova':23B 'path':18B 'provinc':51B 'scotia':24B 'site':27B 'symptom':11B 'test':3A,9B,38B 'want':14B"
475,"en","How to schedule a Microsoft Teams webinar","Follow these steps to learn how to use Microsoft Teams webinar. You can register attendees, run interactive presentations, and analyze attendee data for more effective meetings.",518,"'analyz':27B 'attende':22B,28B 'data':29B 'effect':32B 'follow':8B 'interact':24B 'learn':12B 'meet':33B 'microsoft':5A,16B 'present':25B 'regist':21B 'run':23B 'schedul':3A 'step':10B 'team':6A,17B 'use':15B 'webinar':7A,18B"
100,"en","How to manage your time more efficiently","This TedEd video from Brian Christian provides insights into time management based on how machines manage their time.",105,"'base':19B 'brian':12B 'christian':13B 'effici':7A 'insight':15B 'machin':22B 'manag':3A,18B,23B 'provid':14B 'tede':9B 'time':5A,17B,25B 'video':10B"
23,"en","Bicycling in Halifax","The Halifax Cycling Handbook is a handy pocket-sized guide containing all you need to know about getting around Halifax by bike, from what kind of bike to buy to winter riding tips. You can access an online copy at the link below, or visit Long Alley Bicycles, Giant Bikes, Halifax Cycles, Cyclesmith, or a Halifax Library branch for a free printed copy!

https://drive.google.com/file/d/1g1pm1r0kunagQkEnj5FkMufN3sxPggGh/view?usp=sharing",20,"'/file/d/1g1pm1r0kunagqkenj5fkmufn3sxpgggh/view?usp=sharing':70B 'access':40B 'alley':51B 'around':23B 'bicycl':1A,52B 'bike':26B,31B,54B 'branch':62B 'buy':33B 'contain':15B 'copi':43B,67B 'cycl':6B,56B 'cyclesmith':57B 'drive.google.com':69B 'drive.google.com/file/d/1g1pm1r0kunagqkenj5fkmufn3sxpgggh/view?usp=sharing':68B 'free':65B 'get':22B 'giant':53B 'guid':14B 'halifax':3A,5B,24B,55B,60B 'handbook':7B 'handi':10B 'kind':29B 'know':20B 'librari':61B 'link':46B 'long':50B 'need':18B 'onlin':42B 'pocket':12B 'pocket-s':11B 'print':66B 'ride':36B 'size':13B 'tip':37B 'visit':49B 'winter':35B"
462,"en","How to budget with the 50/30/20 rule","The 50/30/20 rule is a great way to manage your money if you're first starting to budget. Read this plan for an overview and examples of how to implement it.",502,"'50/30/20':6A,9B 'budget':3A,25B 'exampl':33B 'first':22B 'great':13B 'implement':37B 'manag':16B 'money':18B 'overview':31B 'plan':28B 're':21B 'read':26B 'rule':7A,10B 'start':23B 'way':14B"
348,"en","How to get your bus pass","Looking for a way to travel around Halifax? Pick up your U-Pass, and gain unlimited access to Halifax Transit for the academic year!",372,"'academ':30B 'access':24B 'around':13B 'bus':5A 'gain':22B 'get':3A 'halifax':14B,26B 'look':7B 'pass':6A,20B 'pick':15B 'transit':27B 'travel':12B 'u':19B 'u-pass':18B 'unlimit':23B 'way':10B 'year':31B"
555,"en","How to become an entrepreneur","There are many different paths you can take to become an entrepreneur. In this plan, you will learn helpful tips for becoming an entrepreneur.",599,"'becom':3A,15B,27B 'differ':9B 'entrepreneur':5A,17B,29B 'help':24B 'learn':23B 'mani':8B 'path':10B 'plan':20B 'take':13B 'tip':25B"
77,"en","Breaking bad habits with a ""Snap""","Many people try to break bad habits, such as eating junk food or biting their nails, but it can be difficult to do. Breaking a bad habit requires effort and takes time. However, the crafty use of a rubber band can help speed up the process. Next time you catch yourself partaking in the bad habit youâre trying to kick, lift the rubber band and make it snap against your wrist. Soon, you will associate the habit with the unpleasant sting of the rubber band, and, hopefully, break the habit once and for all.",82,"'associ':82B 'bad':2A,12B,32B,61B 'band':46B,71B,92B 'bite':20B 'break':1A,11B,30B,95B 'catch':56B 'crafti':41B 'difficult':27B 'eat':16B 'effort':35B 'food':18B 'habit':3A,13B,33B,62B,84B,97B 'help':48B 'hope':94B 'howev':39B 'junk':17B 'kick':67B 'lift':68B 'make':73B 'mani':7B 'nail':22B 'next':53B 'partak':58B 'peopl':8B 'process':52B 're':64B 'requir':34B 'rubber':45B,70B,91B 'snap':6A,75B 'soon':79B 'speed':49B 'sting':88B 'take':37B 'time':38B,54B 'tri':9B,65B 'unpleas':87B 'use':42B 'wrist':78B"
24,"en","Call a taxi in Halifax","Halifax does not currently offer Uber ride services. Taxis and limousines are readily available in downtown Halifax, Dartmouth, and most neighborhoods and communities throughout the Halifax region.",21,"'avail':19B 'call':1A 'communiti':28B 'current':9B 'dartmouth':23B 'downtown':21B 'halifax':5A,6B,22B,31B 'limousin':16B 'neighborhood':26B 'offer':10B 'readili':18B 'region':32B 'ride':12B 'servic':13B 'taxi':3A,14B 'throughout':29B 'uber':11B"
731,"en","Plan 1c","Plan c",921,"'c':2A,4B 'plan':1A,3B"
716,"en","title 2 title 2","description",906,"'descript':2B 'titl':1A"
764,"en","hello by user","hello",959,"'hello':1A,4B 'user':3A"
291,"en","How to create a LinkedIn account","LinkedIn helps manage your professional brand and define and develop how other members view your professional experience and qualifications while creating opportunities for yourself.",311,"'account':6A 'brand':12B 'creat':3A,27B 'defin':14B 'develop':16B 'experi':23B 'help':8B 'linkedin':5A,7B 'manag':9B 'member':19B 'opportun':28B 'profession':11B,22B 'qualif':25B 'view':20B"
25,"en","Halifax Transit: How to ride","As part of Halifax Transit's ongoing commitment to a create an accessible and inclusive transit system for all, we welcome you to enjoy How to Ride: A Guide to Using Halifax Transit, a collection of easy-to-follow guides and videos in multiple languages that cover information about how to:
â¢    Access bus route maps and schedules
â¢    Plan a trip on buses and ferries
â¢    Pay fares and transfer
â¢    Ride safely

This series of guides and videos have been designed to help familiarize new users with how to access the Halifax Transit network.

If you prefer, the Halifax transit website has a series of translated videos in Arabic, Swahili, Somali, Nepali, and Tigrinya. Written guides are available in Arabic, Farsi, French, Korean, Simplified Chinese, and Spanish. Both can be found here: 

https://www.halifax.ca/transportation/halifax-transit/passenger-information/how-ride-transit",22,"'/transportation/halifax-transit/passenger-information/how-ride-transit':139B 'access':18B,58B,94B 'arab':113B,124B 'avail':122B 'bus':59B 'buse':68B 'chines':129B 'collect':40B 'commit':13B 'cover':53B 'creat':16B 'design':85B 'easi':43B 'easy-to-follow':42B 'enjoy':29B 'familiar':88B 'fare':72B 'farsi':125B 'ferri':70B 'follow':45B 'found':135B 'french':126B 'guid':34B,46B,80B,120B 'halifax':1A,9B,37B,96B,103B 'help':87B 'inclus':20B 'inform':54B 'korean':127B 'languag':51B 'map':61B 'multipl':50B 'nepali':116B 'network':98B 'new':89B 'ongo':12B 'part':7B 'pay':71B 'plan':64B 'prefer':101B 'ride':5A,32B,75B 'rout':60B 'safe':76B 'schedul':63B 'seri':78B,108B 'simplifi':128B 'somali':115B 'spanish':131B 'swahili':114B 'system':22B 'tigrinya':118B 'transfer':74B 'transit':2A,10B,21B,38B,97B,104B 'translat':110B 'trip':66B 'use':36B 'user':90B 'video':48B,82B,111B 'websit':105B 'welcom':26B 'written':119B 'www.halifax.ca':138B 'www.halifax.ca/transportation/halifax-transit/passenger-information/how-ride-transit':137B"
74,"en","Don't eat before bed","While we all need a late night snack every once in a while, it is best to not make a habit out of it. According to medical professionals and researchers, snacking before going to sleep harms you in many ways, some of which you might not even notice.",79,"'accord':30B 'bed':5A 'best':21B 'eat':3A 'even':52B 'everi':14B 'go':38B 'habit':26B 'harm':41B 'late':11B 'make':24B 'mani':44B 'medic':32B 'might':50B 'need':9B 'night':12B 'notic':53B 'profession':33B 'research':35B 'sleep':40B 'snack':13B,36B 'way':45B"
26,"en","Dispute a parking ticket in Halifax","You can appeal a parking ticket within 14 days of it being issued by requesting an administrative review for a number of violations. The parking charges listed below are the most common violations you can appeal.  The following types of parking tickets can be disputed, but youâll need to provide supporting documentation (as indicated) to prove.",23,"'14':14B 'administr':23B 'appeal':9B,42B 'charg':32B 'common':38B 'day':15B 'disput':1A,51B 'document':59B 'follow':44B 'halifax':6A 'indic':61B 'issu':19B 'list':33B 'll':54B 'need':55B 'number':27B 'park':3A,11B,31B,47B 'prove':63B 'provid':57B 'request':21B 'review':24B 'support':58B 'ticket':4A,12B,48B 'type':45B 'violat':29B,39B 'within':13B"
166,"en","Seven essential financial skills for young adults","In this plan, read about seven financial skills young adults shouldn't have to learn the hard way, adapted from Take Charge America.

Link to full article: https://www.takechargeamerica.org/7-essential-financial-skills-for-young-adults/",171,"'/7-essential-financial-skills-for-young-adults/':37B 'adapt':26B 'adult':7A,17B 'america':30B 'articl':34B 'charg':29B 'essenti':2A 'financi':3A,14B 'full':33B 'hard':24B 'learn':22B 'link':31B 'plan':10B 'read':11B 'seven':1A,13B 'shouldn':18B 'skill':4A,15B 'take':28B 'way':25B 'www.takechargeamerica.org':36B 'www.takechargeamerica.org/7-essential-financial-skills-for-young-adults/':35B 'young':6A,16B"
133,"en","Simple tips for improving social skills","This video provides a few simple mindset tricks to help you develop better social skills.",138,"'better':19B 'develop':18B 'help':16B 'improv':4A 'mindset':13B 'provid':9B 'simpl':1A,12B 'skill':6A,21B 'social':5A,20B 'tip':2A 'trick':14B 'video':8B"
75,"en","A relaxing and somewhat enlightening podcast","I get over-busy a lot with work, then listen to work podcasts while I run to bring in new ideas. But being constantly immersed in work or school can burn you out fast. I found myself relaxing a little with this talk Pete Holmes gave at Google, and the relaxation has now lasted a week.",80,"'bring':25B 'burn':38B 'busi':11B 'constant':31B 'enlighten':5A 'fast':41B 'found':43B 'gave':53B 'get':8B 'googl':55B 'holm':52B 'idea':28B 'immers':32B 'last':61B 'listen':17B 'littl':47B 'lot':13B 'new':27B 'over-busi':9B 'pete':51B 'podcast':6A,20B 'relax':2A,45B,58B 'run':23B 'school':36B 'somewhat':4A 'talk':50B 'week':63B 'work':15B,19B,34B"
476,"en","How to join a Microsoft Teams meeting","Do you have an invite for a Microsoft Teams meeting but donât know how to join? Here are some options that you can use to join your meetings.",519,"'invit':12B 'join':3A,24B,34B 'know':21B 'meet':7A,17B,36B 'microsoft':5A,15B 'option':28B 'team':6A,16B 'use':32B"
556,"en","How to start a business","Want to learn how to start your own business! Watch this YouTube video that provides eight helpful steps for starting your business.",600,"'busi':5A,14B,27B 'eight':21B 'help':22B 'learn':8B 'provid':20B 'start':3A,11B,25B 'step':23B 'video':18B 'want':6B 'watch':15B 'youtub':17B"
453,"en","How to build a zero-based budget","In this plan, you'll learn how to budget down to zero each month, giving you greater control over your money.",492,"'base':7A 'budget':8A,17B 'build':3A 'control':26B 'give':23B 'greater':25B 'learn':14B 'll':13B 'money':29B 'month':22B 'plan':11B 'zero':6A,20B 'zero-bas':5A"
46,"en","Buying healthy food on a budget","I have never eaten more unhealthy food than in my first year away from home at university, and at the same time managed to waste more money on said food than I ever had. How is this possible? It's easier than you think. In a culture thatâs mastered taking advantage of its youth, nutritional health is no exception. So for those who were never properly taught to look after their nutrition, or really just anyone wanting to make a positive change to the way they eat, Iâm making this plan for you.",50,"'advantag':58B 'anyon':83B 'away':19B 'budget':6A 'buy':1A 'chang':89B 'cultur':53B 'easier':47B 'eat':94B 'eaten':10B 'ever':39B 'except':66B 'first':17B 'food':3A,13B,36B 'health':63B 'healthi':2A 'home':21B 'look':76B 'm':96B 'make':86B,97B 'manag':29B 'master':56B 'money':33B 'never':9B,72B 'nutrit':62B,79B 'plan':99B 'posit':88B 'possibl':44B 'proper':73B 'realli':81B 'said':35B 'take':57B 'taught':74B 'think':50B 'time':28B 'unhealthi':12B 'univers':23B 'want':84B 'wast':31B 'way':92B 'year':18B 'youth':61B"
78,"en","How to save money as a student","A common problem I find in myself and amongst my peers is overspending. Especially for the extroverts out there, it can be really easy to spend money out on food or drinks with friends and ignore the compounding effect of this on top of other everyday costs. 

There are plenty of ways to cut spending and save moneyâyou just need to be conscious of them in order to utilize them effectively. Here are five tricks to help you save your money.",83,"'amongst':16B 'common':9B 'compound':45B 'conscious':71B 'cost':54B 'cut':61B 'drink':39B 'easi':31B 'effect':46B,79B 'especi':21B 'everyday':53B 'extrovert':24B 'find':12B 'five':82B 'food':37B 'friend':41B 'help':85B 'ignor':43B 'money':4A,34B,65B,89B 'need':68B 'order':75B 'overspend':20B 'peer':18B 'plenti':57B 'problem':10B 'realli':30B 'save':3A,64B,87B 'spend':33B,62B 'student':7A 'top':50B 'trick':83B 'util':77B 'way':59B"
294,"en","Get connected through LinkedIn","Building your LinkedIn network is a great way to stay in touch with alumni, colleagues, and recruiters, as well as connecting with new people and landing professional opportunities.",315,"'alumni':18B 'build':5B 'colleagu':19B 'connect':2A,25B 'get':1A 'great':11B 'land':30B 'linkedin':4A,7B 'network':8B 'new':27B 'opportun':32B 'peopl':28B 'profession':31B 'recruit':21B 'stay':14B 'touch':16B 'way':12B 'well':23B"
