challenge_id,challenge,category
127,"After I [your anchor], I will Donate something that you haven’t used in a long time",Social
129,"After I [your anchor], I will Invest $5",Money
130,"After I [your anchor], I will Try not spending money for today",Money
131,"After I [your anchor], I will Put my receipts in the basket",Money
133,"After I [your anchor], I will Discover a new place on campus",School
134,"After I [your anchor], I will Spend 5 minutes cleaning out your email",School
135,"After I [your anchor], I will Ask for help with something you are struggling with",School
136,"After I [your anchor], I will Read one sentence in a book",School
137,"After I [your anchor], I will Sing a scale",School
138,"After I [your anchor], I will Recite one line of poetry",School
139,"After I [your anchor], I will Open my workbook",School
140,"After I [your anchor], I will Spend 5 minutes reflecting",School
141,"After I [your anchor], I will Acknowledge challenges of the day",School
142,"After I [your anchor], I will Identify a goal",School
143,"After I [your anchor], I will Read for 5 minutes",School
144,"After I [your anchor], I will Watch a TED talk",School
145,"After I [your anchor], I will Learn the word of the day (https://www.merriam-webster.com/word-of-the-day)",School
146,"After I [your anchor], I will Read the news",School
147,"After I [your anchor], I will Break that bad habit",School
148,"After I [your anchor], I will Listen to a podcast",School
149,"After I [your anchor], I will Read an inspirational quote",School
150,"After I [your anchor], I will Talk to your professor",School
151,"After I [your anchor], I will Think of one top priority for my day",School
152,"After I [your anchor], I will Look at my to-do list",School
